Letterboxd URI,Title,Year,imdb,tmdb
/film/vivarium/,Vivarium,2019,tt8368406,458305
/film/rebecca/,Rebecca,1940,tt0032976,223
/film/the-fountain/,The Fountain,2006,tt0414993,1381
/film/chronicle/,Chronicle,2012,tt1706593,76726
/film/orphan/,Orphan,2009,tt1148204,21208
/film/mars-attacks/,Mars Attacks!,1996,tt0116996,75
/film/annette/,Annette,2021,tt6217926,424277
/film/lady-and-the-tramp/,Lady and the Tramp,1955,tt0048280,10340
/film/can-you-ever-forgive-me/,Can You Ever Forgive Me?,2018,tt4595882,401847
/film/rec/,[REC],2007,tt1038988,8329
/film/on-the-rocks-2020/,On the Rocks,2020,tt9606374,575417
/film/warm-bodies/,Warm Bodies,2013,tt1588173,82654
/film/butch-cassidy-and-the-sundance-kid/,Butch Cassidy and the Sundance Kid,1969,tt0064115,642
/film/all-about-eve/,All About Eve,1950,tt0042192,705
/film/in-time/,In Time,2011,tt1637688,49530
/film/close-up/,Close-Up,1990,tt0100234,30017
/film/the-squid-and-the-whale/,The Squid and the Whale,2005,tt0367089,10707
/film/hannibal/,Hannibal,2001,tt0212985,9740
/film/white-chicks/,White Chicks,2004,tt0381707,12153
/film/liar-liar/,Liar Liar,1997,tt0119528,1624
/film/brother-bear/,Brother Bear,2003,tt0328880,10009
/film/meet-the-parents/,Meet the Parents,2000,tt0212338,1597
/film/the-act-of-killing/,The Act of Killing,2012,tt2375605,123678
/film/sympathy-for-lady-vengeance/,Sympathy for Lady Vengeance,2005,tt0451094,4550
/film/the-miseducation-of-cameron-post/,The Miseducation of Cameron Post,2018,tt6257174,426613
/film/selma/,Selma,2014,tt1020072,273895
/film/robots/,Robots,2005,tt0358082,9928
/film/first-blood/,First Blood,1982,tt0083944,1368
/film/boyz-n-the-hood/,Boyz n the Hood,1991,tt0101507,650
/film/black-mirror-san-junipero/,Black Mirror: San Junipero,2016,476410,
/film/kick-ass-2/,Kick-Ass 2,2013,tt1650554,59859
/film/ice-age-the-meltdown/,Ice Age: The Meltdown,2006,tt0438097,950
/film/pi/,Pi,1998,tt0138704,473
/film/his-house/,His House,2020,tt8508734,575774
/film/amores-perros/,Amores Perros,2000,tt0245712,55
/film/midnight-cowboy/,Midnight Cowboy,1969,tt0064665,3116
/film/bad-trip-2021/,Bad Trip,2021,tt9684220,578908
/film/valerian-and-the-city-of-a-thousand-planets/,Valerian and the City of a Thousand Planets,2017,tt2239822,339964
/film/elephant-2003/,Elephant,2003,tt0363589,1807
/film/a-history-of-violence/,A History of Violence,2005,tt0399146,59
/film/the-vast-of-night/,The Vast of Night,2019,tt6803046,565743
/film/tully-2018/,Tully,2018,tt5610554,400579
/film/the-gift-2015-1/,The Gift,2015,tt4178092,328425
/film/the-fugitive-1993/,The Fugitive,1993,tt0106977,5503
/film/the-umbrellas-of-cherbourg/,The Umbrellas of Cherbourg,1964,tt0058450,5967
/film/madagascar-escape-2-africa/,Madagascar: Escape 2 Africa,2008,tt0479952,10527
/film/the-lodge-2019/,The Lodge,2019,tt7347846,474764
/film/childs-play/,Child's Play,1988,tt0094862,10585
/film/cube/,Cube,1997,tt0123755,431
/film/armageddon/,Armageddon,1998,tt0120591,95
/film/underwater-2020/,Underwater,2020,tt5774060,443791
/film/paris-is-burning/,Paris Is Burning,1990,tt0100332,31225
/film/the-french-connection/,The French Connection,1971,tt0067116,1051
/film/cruel-intentions/,Cruel Intentions,1999,tt0139134,796
/film/percy-jackson-the-olympians-the-lightning-thief/,Percy Jackson & the Olympians: The Lightning Thief,2010,tt0814255,32657
/film/little-shop-of-horrors/,Little Shop of Horrors,1986,tt0091419,10776
/film/happy-gilmore/,Happy Gilmore,1996,tt0116483,9614
/film/contact/,Contact,1997,tt0118884,686
/film/knocked-up/,Knocked Up,2007,tt0478311,4964
/film/waynes-world/,Wayne's World,1992,tt0105793,8872
/film/clerks/,Clerks,1994,tt0109445,2292
/film/whisper-of-the-heart/,Whisper of the Heart,1995,tt0113824,37797
/film/double-indemnity/,Double Indemnity,1944,tt0036775,996
/film/the-blind-side/,The Blind Side,2009,tt0878804,22881
/film/face-off/,Face/Off,1997,tt0119094,754
/film/begin-again/,Begin Again,2013,tt1980929,198277
/film/free-solo/,Free Solo,2018,tt7775622,515042
/film/dune/,Dune,1984,tt0087182,841
/film/nerve-2016/,Nerve,2016,tt3531824,328387
/film/ikiru/,Ikiru,1952,tt0044741,3782
/film/the-love-witch/,The Love Witch,2016,tt3908142,374052
/film/days-of-heaven/,Days of Heaven,1978,tt0077405,16642
/film/primer/,Primer,2004,tt0390384,14337
/film/amour/,Amour,2012,tt1602620,86837
/film/the-town/,The Town,2010,tt0840361,23168
/film/austin-powers-international-man-of-mystery/,Austin Powers: International Man of Mystery,1997,tt0118655,816
/film/men-in-black-ii/,Men in Black II,2002,tt0120912,608
/film/the-french-dispatch/,The French Dispatch,2021,tt8847712,542178
/film/hellboy/,Hellboy,2004,tt0167190,1487
/film/the-jungle-book/,The Jungle Book,1967,tt0061852,9325
/film/the-meg/,The Meg,2018,tt4779682,345940
/film/the-proposal-2009/,The Proposal,2009,tt1041829,18240
/film/hancock/,Hancock,2008,tt0448157,8960
/film/the-day-after-tomorrow/,The Day After Tomorrow,2004,tt0319262,435
/film/this-is-spinal-tap/,This Is Spinal Tap,1984,tt0088258,11031
/film/the-lovely-bones/,The Lovely Bones,2009,tt0380510,7980
